date;23/02/2022;24/02/2022;25/02/2022;26/02/2022;27/02/2022;28/02/2022;01/03/2022;02/03/2022;03/03/2022;04/03/2022;05/03/2022;06/03/2022;07/03/2022;08/03/2022;09/03/2022;10/03/2022;11/03/2022;12/03/2022;13/03/2022;14/03/2022;15/03/2022;16/03/2022;17/03/2022;18/03/2022;19/03/2022;20/03/2022;21/03/2022;22/03/2022;23/03/2022;24/03/2022;
1640s;5619;5619;5619;5656;5662;5662;5668;5998;5998;6070;6070;6070;6070;6070;6070;6070;6070;6070;136342;136342;136342;136342;136342;136342;136361;136361;136361;136361;136361;136361;
16thGarden;326055;326055;326055;326055;326055;326055;326055;326055;326055;326055;326055;326055;326055;326055;326055;326055;326055;326055;326055;326055;326055;326055;326055;326055;326055;326055;326055;326055;326055;326055;
1702Levi;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;1059630;
173IQ;12555;17750;17750;17750;17750;17750;17750;17750;17750;17750;17750;17750;17750;17750;17750;17750;17750;17750;17750;17750;17750;17750;17750;17750;17750;17750;17750;17750;17750;17750;
17aq;222428;222428;222428;222428;222428;222428;222428;222428;222428;222428;222428;222428;222428;222428;222428;222428;222428;222428;222428;222428;222428;222428;222428;222428;222428;222428;222428;222428;222428;222428;
180hz;9079;9079;9079;9079;9079;9079;9079;9079;9079;9079;9079;9079;9079;9079;9079;9079;9079;9079;9079;9079;9079;9079;9079;9079;9079;9079;9079;9079;9079;9079;
1875ryan;2288;2288;2288;2288;2288;2288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2288;0;0;0;0;0;0;0;0;
187ner;70050;70050;70050;70050;70050;70050;70050;70050;70050;70050;70050;70050;70050;70050;70050;70050;70050;70050;70050;70050;70050;70050;70050;70050;70050;70058;70058;70061;70064;70064;
18O4;93000;93000;93000;93000;93000;93000;93000;93000;93000;93000;93000;93000;93000;93000;93000;93000;93000;93000;93000;93000;93000;93000;93000;93000;93000;93000;93000;93000;93000;93000;
194858291919;22324;22324;22324;22324;22324;22324;22324;22324;22324;22324;22324;22324;22324;22324;22324;22324;22324;22324;22324;22324;22324;22324;22324;22324;22324;22324;22324;22324;22324;22324;
199g;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;1530460;
19ch;10017;10017;10017;10017;10017;10017;10017;10017;10017;10017;10017;10017;10017;10017;10017;10017;10017;10017;10017;10017;10017;10017;10017;10017;10017;10017;10017;10017;10017;10017;
19l;286622;286622;286622;286622;286622;286622;286622;286622;286622;286622;286622;286622;286622;286622;286622;286622;286622;286622;286622;286622;286622;286622;286622;286622;286622;286622;286622;286622;286622;286622;
19victor98;431905;431905;431905;431905;431905;431905;431905;431905;431905;431905;431905;431905;431905;431905;431905;431905;431905;431905;431905;431905;431905;431905;431905;431905;431905;431905;431905;431905;431905;431905;
1a2b3g4e;63095;63095;63095;63095;63095;63095;63095;63095;63095;63095;63095;63095;63095;63095;63095;63095;63095;63095;63095;63095;63095;63095;63095;63095;63095;63095;63095;63095;63095;63095;
1awesomeben1;332979;332979;332979;332979;332979;332979;332979;332979;332979;332979;332979;332979;332979;332979;332979;332979;332979;332979;332979;332979;332979;332979;332979;332979;332979;332979;332979;332979;332979;332979;
1bis;360316;360316;360316;360316;360316;360316;360316;360316;360316;360316;360316;360316;360316;360316;360316;360316;360316;360316;360316;360316;360316;360316;360316;360316;360316;360316;360316;360316;360316;360316;
1Blade_player;3942375;3961291;3961291;3961291;3983315;3983315;4001506;4001506;4001506;4001506;4001506;4001506;4001506;4056892;4065533;4065533;4065533;4065533;4065533;4065533;4065533;4065533;4065533;4065533;4065533;4121144;4121144;4136442;4136442;4136442;
1Bos;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;1844030;
1C6;7463;7463;7463;7463;7463;7463;7463;7463;7463;7463;7463;7463;7463;7463;7463;7463;7463;7463;7463;7463;7463;7463;7463;7463;7463;7463;7463;7463;7463;7463;
1ceshad0w;76093;76093;76093;76093;76093;76093;76093;76093;76093;76093;76093;76093;76093;76093;76093;76093;76093;76093;76093;76093;76093;76093;76093;76093;76093;76093;76093;76093;76093;76093;
1cey_;15005;15005;15005;15005;15005;15005;15005;15005;15005;15005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1Domi;204671;204671;204671;204671;204671;204671;204671;204671;204671;204671;204671;204671;204671;204671;204671;204671;204671;204671;204671;204671;204671;204671;204671;204671;204671;204671;204671;204671;204671;204671;
1dozer1;253916;253916;253916;253916;253916;253916;253916;253916;253916;253916;253916;253916;253916;253916;253916;253916;253916;253916;253916;253916;253916;253916;253916;253916;253916;253916;253916;253916;253916;253916;
1epauletteshark;131975;131975;131975;131975;131975;131975;131975;131975;131975;131975;131975;131975;131975;131975;131975;131975;131975;131975;131975;131975;131975;131975;131975;131975;131975;131975;131975;131975;131975;131975;
1fishy;206784;206784;206784;206784;206784;206784;206784;206784;206784;206784;206784;206784;206784;206784;206784;206784;206784;206784;206784;206784;206784;206784;206784;206784;206784;206784;206784;206784;206784;206784;
1forall;466401;466401;466401;466401;466401;466401;466401;466401;466401;466401;466401;466401;466401;466401;466401;466401;466401;466401;466401;466401;466401;466401;466401;466401;466401;466401;466401;466401;466401;466401;
1hcsisdaddy;100520;100520;100520;100520;100520;100520;100520;100520;100520;100520;100520;100520;100520;100520;100520;100520;100520;100520;100520;100520;100520;100520;100520;100520;100520;100520;100520;100520;100520;100520;
1ife1ess;7427;7427;7427;7427;7427;7427;7427;7427;7427;7427;7427;7427;7427;7427;7427;7427;7427;7427;7427;7427;7427;7427;7427;7427;7427;7427;7427;7427;7427;7427;
1kOrigami;5005;5005;5005;5005;5005;5005;5005;5005;5005;5005;5005;5005;5005;5005;5005;5005;5005;5005;5005;5005;5005;5005;5005;5005;5005;5005;5005;5005;5005;5005;
1Leqends;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;1629083;
1Les;3428;3428;3428;3428;3428;3428;3428;3428;3428;3428;3428;3428;3428;3428;3428;3428;3428;3428;3428;3428;3428;3428;3428;3428;3428;3428;3428;3428;3428;3428;
1LLUMINAT1;100031;100031;100031;100031;100031;100031;100031;100031;100031;100031;100031;100031;100031;100031;100031;100031;100031;100031;100031;100031;100031;100031;100031;100031;100031;100031;100031;100031;100031;100031;
1mi0;63627;63627;63627;63627;63627;63627;63627;63627;63627;63627;63627;63627;63627;63627;63627;63627;63627;63627;63627;63627;63627;63627;63627;63627;63627;63627;63627;63627;63627;63627;
1MillionSun;13686;13686;13686;13686;13686;13686;13686;13686;13686;13686;13686;13686;13686;13686;13686;13686;13686;13686;13686;13686;13686;13686;13686;13686;13686;13686;13686;13686;13686;13686;
1Moltyman;288597;288597;288597;288597;288597;288597;288597;288597;288597;288597;288597;288597;288597;288597;288597;288597;288597;288597;288597;288597;288597;288597;288597;288597;288597;288597;288597;288597;288597;288597;
1MWP;123367;123367;123367;123367;123367;123367;123367;123367;123367;123367;123367;123367;123367;123367;123367;123367;123367;123367;123367;123367;123367;123367;123367;123367;123367;123367;123367;123367;123367;123367;
1ncen;43349;43349;43349;43349;43349;43349;43349;43349;43349;43349;43349;43349;43349;43349;43349;43349;43352;43352;43352;43352;43352;43352;43352;43352;43352;43352;43352;43352;43352;43416;
1ninjawarrior;496464;496464;496464;496464;496464;496464;496464;496464;496464;496464;496464;496464;496464;496464;496464;496464;496464;496464;496464;496464;496464;496464;496464;496464;496464;496464;496464;496464;496464;496464;
1nj;42892;42892;42892;42892;42892;42892;42892;42892;42892;42892;42892;42892;42892;42892;42892;42892;42892;42892;42892;42892;42892;42892;42892;42892;42892;42892;42892;42892;42892;42892;
1nsstinct;356699;356699;356699;356699;356699;356699;356699;356699;356699;356699;356699;356699;356699;356699;356699;356699;356699;356699;356699;356699;356699;356699;356699;356699;356699;356699;356699;356699;356699;356699;
1ntex;7926;7926;7926;7926;7926;7926;7926;7926;7926;7926;7926;7926;7926;7926;7926;7926;7926;7926;7926;7926;7926;7926;7926;7926;7926;7926;7926;7926;7926;7926;
1O38;76795;76795;76795;76795;76795;76795;76795;76795;76795;76795;76795;76795;76795;76795;76795;76795;76795;76795;76795;76795;76795;76795;76795;76795;76795;76795;76795;76795;76795;76795;
1P7;11128;11128;11128;11128;11128;11128;11128;11128;11128;11128;11128;11128;11128;11128;11128;11128;11128;11128;11128;11128;11128;11128;11128;11128;11128;11128;11128;11128;11128;11128;
1peewee;39188;39188;39188;39188;39188;39188;39188;39188;39188;39188;39188;39188;39188;39188;39188;39188;39188;39188;39188;39188;39188;39188;39188;39188;39188;39188;39188;39188;39188;39188;
1RandomNoob;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;1030189;
1Shoko;29464;29464;29464;29464;29464;29464;29464;29464;29464;29464;29464;29464;29464;29464;29464;29464;29464;29464;29464;29464;29464;29464;29464;29464;29464;29464;29464;29464;29464;29464;
1Shredded1;10937;10949;10949;10949;10949;0;10949;10949;10949;10949;10949;10968;10968;10968;10968;10968;11197;11197;11197;11197;11197;11197;11197;11197;11197;11197;11197;11197;11197;11197;
