date;23/02/2022;24/02/2022;25/02/2022;26/02/2022;27/02/2022;28/02/2022;01/03/2022;02/03/2022;03/03/2022;04/03/2022;05/03/2022;06/03/2022;07/03/2022;08/03/2022;09/03/2022;10/03/2022;11/03/2022;12/03/2022;13/03/2022;14/03/2022;15/03/2022;16/03/2022;17/03/2022;18/03/2022;19/03/2022;20/03/2022;21/03/2022;22/03/2022;23/03/2022;24/03/2022;
1Shredded1;5110;5110;5110;5110;5110;0;5110;5110;5110;5110;5110;5110;5110;5110;5110;5110;5110;5110;5110;5110;5110;5110;5110;5110;5110;5110;5110;5110;5110;5110;
1spirit1_;1308;1308;1308;1308;1308;1308;1308;1308;1308;1308;1308;1308;1308;1308;1308;1308;1308;1308;1308;1308;1308;1308;1308;1308;1308;1308;1308;1308;1308;1308;
1stAirborne;334092;334092;334092;334092;334092;334092;334092;334092;334092;334092;334092;334092;334092;334092;334092;334092;334092;334092;334092;334092;334092;334092;334092;334092;334092;334092;334092;334092;334092;334092;
1VB;480785;480785;480785;480785;480785;480785;480785;480785;480785;675457;675457;675457;675457;675457;681857;681857;681857;690177;690177;690177;690177;690177;690177;690177;690177;690177;690177;690177;690177;690177;
1WildesUnicorn;26058;26058;26058;26058;26058;26058;26058;26058;26058;26058;26058;26058;26058;26058;26058;26058;26058;26058;26058;26058;26058;26058;26058;26058;26058;26058;26058;26058;26058;26058;
1XVI;257;257;257;257;257;257;257;257;257;257;257;257;257;257;257;257;257;257;257;257;257;257;257;257;257;257;257;257;257;257;
1_asa_1;21226;21226;21226;21226;21226;21226;21226;21226;21226;21226;21226;21226;21226;21226;21226;21226;21226;21226;21226;21226;21226;21226;21226;21226;21226;21226;21226;21226;21226;21226;
1_Nn;52964;52964;52964;52964;52964;52964;52964;52964;52964;52964;52964;52964;52964;52964;52964;52964;52964;52964;52964;52964;52964;52964;52964;52964;52964;52964;52964;52964;52964;52964;
2002phil;NoFoundByTheAPI;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;ProfileUUIDNotFound;
2002vikt;52803;52803;52803;52803;52803;52803;52803;52803;52803;52803;52803;52803;52803;52803;52803;52803;52803;52803;52803;52803;52803;52803;52803;52803;52803;52803;52803;52803;52803;52803;
